"id";"nome";"descricao";"data_inicio";"data_fim";"status"
"1";"Reinger, Brown and Huel";"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J";"2024-05-17";"2024-04-07";"Concluido"
"2";"Stroman - Littel";"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles";"2024-03-18";"2024-05-18";"Pendente"
"3";"Bailey - Reinger";"The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality";"2024-06-08";"2024-01-24";"Pendente"
"4";"Jones, Wilderman and Kovacek";"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016";"2024-02-19";"2024-05-04";"Em andamento"
"5";"Baumbach - Kautzer";"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive";"2024-03-10";"2024-06-20";"Concluido"
"6";"Toy, Marquardt and Brakus";"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive";"2024-05-15";"2024-06-15";"Em andamento"
"7";"Wiegand, Aufderhar and Cummerata";"The Football Is Good For Training And Recreational Purposes";"2024-05-22";"2024-06-17";"Concluido"
"8";"Toy Group";"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles";"2024-05-22";"2024-03-10";"Pendente"
"9";"Lindgren, Kub and Yost";"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals";"2024-05-06";"2024-07-17";"Pendente"
"10";"Bernhard, Runolfsson and Maggio";"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals";"2024-02-05";"2024-04-10";"Concluido"
"11";"Hoeger Inc";"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals";"2024-02-02";"2024-04-07";"Em andamento"
"12";"Ferry LLC";"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive";"2024-08-19";"2024-06-19";"Concluido"
"13";"Watsica and Sons";"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive";"2024-05-25";"2024-08-26";"Em andamento"
"14";"Rohan Group";"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J";"2024-07-28";"2024-05-11";"Em andamento"
"15";"Breitenberg, Green and Will";"Carbonite web goalkeeper gloves are ergonomically designed to give easy fit";"2024-05-25";"2024-02-24";"Concluido"
"16";"Doyle LLC";"Carbonite web goalkeeper gloves are ergonomically designed to give easy fit";"2024-08-20";"2024-07-21";"Em andamento"
"17";"Batz - Cremin";"New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart";"2024-07-14";"2024-06-01";"Concluido"
"18";"Schuppe - Krajcik";"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J";"2024-05-31";"2024-03-07";"Em andamento"
"19";"Schimmel Group";"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design";"2024-08-14";"2024-05-18";"Em andamento"
"20";"Pollich LLC";"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J";"2024-08-21";"2024-03-19";"Pendente"
"21";"Swift Inc";"Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support";"2024-06-04";"2024-06-12";"Em andamento"
"22";"Bauch - Haag";"Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support";"2024-05-11";"2024-06-26";"Pendente"
"23";"Hauck, Kessler and Mitchell";"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive";"2024-06-20";"2024-03-04";"Pendente"
"24";"Schaefer LLC";"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles";"2024-01-19";"2024-07-20";"Concluido"
"25";"Ferry, Pacocha and Block";"Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support";"2024-07-04";"2024-09-02";"Pendente"
"26";"Konopelski Inc";"Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support";"2024-05-21";"2024-08-03";"Concluido"
